ID Numeric,ID String,Description,Tag,Appears in 2019-10 Edition Booklet,Index in 2019-10 Edition Booklet,Spectrum Reported,Transmission % @ 360 nm,Transmission % @ 380 nm,Transmission % @ 400 nm,Transmission % @ 420 nm,Transmission % @ 440 nm,Transmission % @ 460 nm,Transmission % @ 480 nm,Transmission % @ 500 nm,Transmission % @ 520 nm,Transmission % @ 540 nm,Transmission % @ 560 nm,Transmission % @ 580 nm,Transmission % @ 600 nm,Transmission % @ 620 nm,Transmission % @ 640 nm,Transmission % @ 660 nm,Transmission % @ 680 nm,Transmission % @ 700 nm,Transmission % @ 720 nm,Transmission % @ 740 nm
0,00,dempster open white,00_dempster-open-white,1,72,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,01,light bastard amber,01_light-bastard-amber,1,73,1,46,59,62,58,47,36,29,28,30,38,50,69,82,86,88,88,88,88,88,88
2,02,bastard amber,02_bastard-amber,1,74,1,69,73,71,64,56,49,47,49,54,68,74,80,84,85,85,86,86,86,86,86
3,03,dark bastard amber,03_dark-bastard-amber,1,76,1,46,54,53,49,40,33,31,32,38,47,56,72,82,85,85,86,86,86,86,86
4,04,medium bastard amber,04_medium-bastard-amber,1,78,1,49,54,53,52,48,42,38,38,41,50,60,75,85,87,88,88,88,88,88,88
5,05,rose tint,05_rose-tint,1,80,1,62,72,75,75,70,64,59,57,58,64,71,80,85,87,88,88,88,88,88,88
6,06,no color straw,06_no-color-straw,0,NaN,1,67,66,64,66,72,77,81,84,85,87,88,88,88,88,88,88,88,88,88,88
7,07,pale yellow,07_pale-yellow,0,NaN,1,52,43,37,40,52,65,74,80,83,86,87,88,88,88,88,88,88,88,88,88
8,08,pale gold,08_pale-gold,0,NaN,1,69,70,53,49,42,50,71,72,70,73,72,80,84,85,85,86,86,86,86,86
9,09,pale amber gold,09_pale-amber-gold,0,NaN,1,58,61,55,47,39,35,38,48,57,65,72,81,87,88,88,88,88,88,88,88
10,10,medium yellow,10_medium-yellow,0,NaN,1,34,6,0,0,0,0,17,74,86,87,87,87,88,88,88,88,88,88,88,88
11,11,light straw,11_light-straw,1,82,1,55,49,33,22,15,14,21,43,64,75,80,85,87,88,88,88,88,88,88,88
12,12,straw,12_straw,1,83,1,33,16,1,0,0,1,28,62,77,83,84,85,86,86,86,86,86,86,86,86
13,13,straw tint,13_straw-tint,1,85,1,59,59,49,40,32,29,34,49,61,70,76,84,88,89,89,89,89,89,89,89
14,14,medium straw,14_medium-straw,1,87,1,40,36,22,12,7,6,11,27,48,62,70,80,85,86,87,87,87,87,87,87
15,15,deep straw,15_deep-straw,1,88,1,10,3,1,1,1,2,4,10,27,51,75,86,89,89,89,89,89,89,89,89
16,16,light amber,16_light-amber,1,89,1,60,67,60,46,30,19,15,19,29,58,74,81,85,85,85,86,86,86,86,86
17,17,light flame,17_light-flame,1,91,1,57,64,58,45,28,18,14,15,20,42,52,69,82,84,84,84,84,85,85,85
18,18,flame,18_flame,1,93,1,38,49,48,36,22,15,12,14,20,41,53,66,76,78,78,78,78,78,79,79
19,19,fire,19_fire,1,95,1,1,2,1,1,0,0,0,0,0,0,1,15,54,78,84,86,87,87,87,87
20,20,medium amber,20_medium-amber,1,96,1,28,27,16,8,4,3,4,11,22,35,48,69,84,87,88,88,88,88,88,88
21,21,golden amber,21_golden-amber,1,97,1,16,18,11,6,2,1,1,3,7,14,26,54,80,87,88,88,88,88,88,88
22,22,deep amber,22_deep-amber,1,99,1,1,6,6,1,0,0,0,0,0,2,9,32,65,81,85,86,86,86,86,87
23,23,orange,23_orange,1,100,1,12,17,14,9,4,2,1,2,4,8,18,45,75,84,87,87,88,88,88,88
24,24,scarlet,24_scarlet,1,101,1,5,15,24,20,9,3,1,1,1,1,4,19,52,75,83,86,86,86,86,87
25,25,orange red,25_orange-red,1,103,1,2,5,9,6,2,0,0,0,0,0,1,8,40,71,83,87,87,88,88,88
26,26,light red,26_light-red,1,105,1,13,12,3,0,0,0,0,0,0,0,0,0,8,50,73,80,83,84,84,85
27,27,medium red,27_medium-red,1,106,1,1,1,0,0,0,0,0,0,0,0,0,0,2,11,33,59,76,82,85,86
30,30,light salmon pink,30_light-salmon-pink,1,107,1,33,46,50,46,35,24,19,17,19,26,36,58,77,83,85,85,85,85,85,86
31,31,salmon pink,31_salmon-pink,1,108,1,34,51,60,57,46,34,26,22,21,25,33,53,74,84,86,87,87,87,87,88
32,32,medium salmon pink,32_medium-salmon-pink,1,110,1,17,33,43,39,26,15,9,7,6,9,15,37,65,80,85,86,87,87,87,87
33,33,no color pink,33_no-color-pink,1,112,1,56,68,75,76,71,64,57,52,50,51,57,69,81,85,87,87,87,88,87,87
34,34,flesh pink,34_flesh-pink,1,114,1,40,52,56,52,44,40,38,31,24,28,28,51,73,77,78,79,79,79,80,80
35,35,light pink,35_light-pink,1,115,1,55,69,77,77,73,66,59,53,49,50,56,69,80,86,88,88,88,88,88,88
36,36,medium pink,36_medium-pink,1,116,1,38,56,69,67,59,48,38,30,26,27,34,52,71,82,85,86,86,86,86,87
37,37,pale rose pink,37_pale-rose-pink,1,118,1,62,70,73,74,72,67,66,52,45,43,46,53,70,78,79,81,84,85,85,85
38,38,light rose,38_light-rose,1,120,1,45,60,67,66,60,53,47,43,40,40,42,48,57,68,76,82,84,85,85,86
39,39,skelton exotic sangria,39_skelton-exotic-sangria,1,121,1,22,45,52,47,29,11,3,0,0,0,0,1,15,43,50,61,75,80,82,83
40,40,light salmon,40_light-salmon,1,123,1,19,31,36,31,19,10,6,6,7,12,21,47,73,83,86,87,87,87,87,87
41,41,salmon,41_salmon,1,124,1,31,36,28,12,5,5,7,4,2,3,3,24,68,81,82,83,83,84,84,85
42,42,deep salmon,42_deep-salmon,1,125,1,28,41,30,13,5,4,5,1,1,0,1,3,29,62,69,70,72,75,80,84
43,43,deep pink,43_deep-pink,1,127,1,17,41,64,63,51,35,22,13,8,7,11,27,56,77,84,86,86,86,86,87
44,44,middle rose,44_middle-rose,1,129,1,53,68,71,70,62,46,31,18,11,10,13,21,56,79,82,84,84,85,85,85
45,45,rose,45_rose,1,131,1,13,32,36,25,14,7,4,3,2,2,2,5,18,37,59,75,83,86,87,88
46,46,magenta,46_magenta,1,132,1,3,11,20,15,6,2,1,0,0,0,1,2,7,20,43,65,78,83,84,85
47,47,light rose purple,47_light-rose-purple,1,134,1,29,45,46,35,25,21,19,10,5,4,5,6,16,17,11,9,7,9,26,55
48,48,rose purple,48_rose-purple,1,136,1,20,45,65,62,51,38,27,19,12,9,7,9,17,33,55,73,82,85,87,87
49,49,medium purple,49_medium-purple,1,138,1,5,25,49,44,29,15,7,3,1,1,0,1,3,11,32,59,76,83,85,86
50,50,mauve,50_mauve,1,140,1,15,32,34,18,9,6,5,5,6,6,6,9,16,31,53,70,79,83,84,85
51,51,surprise pink,51_surprise-pink,1,141,1,68,75,78,78,77,72,67,59,53,48,48,48,56,59,58,67,80,84,85,85
52,52,light lavender,52_light-lavender,1,143,1,43,61,72,73,70,64,55,47,37,30,26,25,31,40,49,69,82,86,87,88
53,53,pale lavender,53_pale-lavender,1,144,1,65,73,77,78,79,78,75,71,66,61,57,54,56,59,62,75,83,86,87,87
54,54,special lavender,54_special-lavender,1,146,1,54,65,73,76,77,75,68,60,52,45,44,43,48,50,50,69,83,86,87,88
55,55,lilac,55_lilac,1,147,1,46,57,65,69,70,68,61,53,44,34,29,23,26,30,33,57,77,84,85,86
56,56,gypsy lavender,56_gypsy-lavender,1,149,1,23,31,38,48,54,46,29,14,6,2,1,1,2,3,3,23,62,80,84,86
57,57,lavender,57_lavender,1,151,1,32,47,61,66,69,63,49,35,24,17,16,14,19,21,21,48,76,84,86,87
58,58,deep lavender,58_deep-lavender,1,153,1,17,34,52,60,62,51,34,19,10,6,5,5,9,10,11,37,71,84,87,87
59,59,indigo,59_indigo,1,155,1,16,30,41,34,23,15,9,3,1,0,0,0,0,0,0,3,33,64,76,80
60,60,no color blue,60_no-color-blue,1,157,1,67,72,76,78,77,75,71,67,60,55,48,43,41,40,36,50,75,83,84,85
61,61,mist blue,61_mist-blue,1,159,1,72,74,76,79,83,84,83,80,76,68,62,52,51,50,49,68,83,87,88,88
62,62,booster blue,62_booster-blue,1,161,1,48,56,63,71,73,69,63,57,50,48,40,38,32,26,24,22,28,46,68,80
63,63,pale blue,63_pale-blue,1,163,1,63,66,70,75,79,81,80,75,69,59,51,40,40,38,37,61,81,86,88,88
